사번,부서,년월,기본근무시간_가정값,초과근무시간,원본이상근태플래그
E0252,영업,2026-03,160,14.2,False
E0256,영업,2026-03,160,12.2,False
E0263,영업,2026-03,160,14.5,False
E0265,영업,2026-03,160,18.9,False
E0271,영업,2026-03,160,14.0,False
E0284,영업,2026-03,160,12.8,False
E0290,영업,2026-03,160,17.9,False
E0291,영업,2026-03,160,16.5,False
E0299,영업,2026-03,160,18.5,False
E0001,인사,2026-03,160,15.9,False
E0012,인사,2026-03,160,14.3,False
E0013,인사,2026-03,160,11.5,False
E0037,인사,2026-03,160,14.1,False
E0043,인사,2026-03,160,15.4,False
E0053,인사,2026-03,160,13.1,False
E0061,인사,2026-03,160,11.2,False
E0086,인사,2026-03,160,16.7,False
E0090,인사,2026-03,160,13.4,False
E0097,인사,2026-03,160,13.4,False
E0100,인사,2026-03,160,14.4,False
E0102,인사,2026-03,160,16.5,False
E0109,인사,2026-03,160,14.9,False
E0113,인사,2026-03,160,13.6,False
E0117,인사,2026-03,160,15.8,False
E0119,인사,2026-03,160,18.9,False
E0127,인사,2026-03,160,17.3,False
E0136,인사,2026-03,160,15.8,False
E0145,인사,2026-03,160,11.9,False
E0149,인사,2026-03,160,22.4,False
E0152,인사,2026-03,160,11.7,False
E0159,인사,2026-03,160,13.5,False
E0179,인사,2026-03,160,12.8,False
E0189,인사,2026-03,160,17.8,False
E0192,인사,2026-03,160,15.2,False
E0204,인사,2026-03,160,11.3,False
E0209,인사,2026-03,160,14.9,False
E0220,인사,2026-03,160,15.5,False
E0229,인사,2026-03,160,13.6,False
E0235,인사,2026-03,160,11.7,False
E0240,인사,2026-03,160,12.8,False
E0243,인사,2026-03,160,13.4,False
E0244,인사,2026-03,160,14.4,False
E0247,인사,2026-03,160,13.2,False
E0259,인사,2026-03,160,15.9,False
E0269,인사,2026-03,160,12.3,False
E0270,인사,2026-03,160,10.6,False
E0283,인사,2026-03,160,12.7,False
E0287,인사,2026-03,160,17.2,False
E0297,인사,2026-03,160,13.1,False
E0004,재무,2026-03,160,22.8,False
E0005,재무,2026-03,160,18.1,False
E0016,재무,2026-03,160,13.9,False
E0019,재무,2026-03,160,14.7,False
E0021,재무,2026-03,160,17.5,False
E0028,재무,2026-03,160,13.9,False
E0030,재무,2026-03,160,22.9,False
E0034,재무,2026-03,160,14.4,False
E0044,재무,2026-03,160,18.6,False
E0045,재무,2026-03,160,20.6,False
E0054,재무,2026-03,160,16.6,False
E0055,재무,2026-03,160,14.3,False
E0057,재무,2026-03,160,16.2,False
E0065,재무,2026-03,160,17.8,False
E0070,재무,2026-03,160,19.1,False
E0072,재무,2026-03,160,17.0,False
E0074,재무,2026-03,160,13.3,False
E0075,재무,2026-03,160,17.0,False
E0077,재무,2026-03,160,15.2,False
E0079,재무,2026-03,160,11.3,False
E0080,재무,2026-03,160,15.1,False
E0083,재무,2026-03,160,13.2,False
E0085,재무,2026-03,160,18.3,False
E0089,재무,2026-03,160,21.8,False
E0092,재무,2026-03,160,21.6,False
E0108,재무,2026-03,160,15.4,False
E0123,재무,2026-03,160,15.7,False
E0126,재무,2026-03,160,18.6,False
E0128,재무,2026-03,160,19.5,False
E0135,재무,2026-03,160,15.8,False
E0137,재무,2026-03,160,74.9,True
E0147,재무,2026-03,160,16.5,False
E0153,재무,2026-03,160,19.3,False
E0154,재무,2026-03,160,15.4,False
E0157,재무,2026-03,160,20.4,False
E0158,재무,2026-03,160,20.1,False
E0164,재무,2026-03,160,12.8,False
E0169,재무,2026-03,160,16.9,False
E0174,재무,2026-03,160,14.8,False
E0180,재무,2026-03,160,16.7,False
E0181,재무,2026-03,160,20.5,False
E0191,재무,2026-03,160,10.8,False
E0194,재무,2026-03,160,17.0,False
E0197,재무,2026-03,160,20.1,False
E0216,재무,2026-03,160,12.6,False
E0217,재무,2026-03,160,20.7,False
E0218,재무,2026-03,160,11.7,False
E0225,재무,2026-03,160,16.6,False
E0230,재무,2026-03,160,18.2,False
E0233,재무,2026-03,160,15.3,False
E0234,재무,2026-03,160,17.5,False
E0237,재무,2026-03,160,14.3,False
E0241,재무,2026-03,160,19.6,False
E0257,재무,2026-03,160,15.6,False
E0264,재무,2026-03,160,17.7,False
E0266,재무,2026-03,160,15.0,False
E0273,재무,2026-03,160,15.8,False
E0275,재무,2026-03,160,20.1,False
E0276,재무,2026-03,160,19.8,False
E0277,재무,2026-03,160,16.8,False
E0281,재무,2026-03,160,18.7,False
E0286,재무,2026-03,160,19.4,False
